,JUL,Elevation,flood
0,126.4,201,4
1,149.3,215,4
2,151.6,225,2
3,109.7,227,4
4,93.6,208,4
5,128.9,200,4
6,123.2,214,4
7,196.6,224,1
8,228.7,226,1
9,107.9,207,4
10,26.3,202,0
11,161.1,213,2
12,142.9,223,4
13,252.0,225,3
14,66.9,206,0
15,139.7,199,4
16,164.3,216,2
17,20.0,226,0
18,208.7,228,1
19,194.8,209,1
20,100.2,198,4
21,139.6,217,4
22,183.7,227,2
23,98.3,229,4
24,247.0,210,1
25,190.0,200,1
26,160.9,215,2
27,131.0,228,4
28,135.2,228,4
29,266.5,208,3
30,198.7,201,1
31,136.8,214,4
32,131.4,229,4
33,140.8,227,4
34,208.9,207,1
35,124.4,202,4
36,171.6,213,2
37,89.7,225,4
38,62.7,226,0
39,117.4,206,4
40,41.0,198,0
41,257.5,216,3
42,129.6,224,4
43,150.7,225,2
44,120.0,209,4
45,122.9,199,4
46,22.9,217,0
47,212.4,223,1
48,287.9,229,3
49,220.4,210,1
50,56.0,200,0
51,122.5,215,4
52,241.0,226,1
53,152.3,230,2
54,100.3,208,4
55,239.1,201,1
56,190.6,214,1
57,150.0,227,2
58,103.8,227,4
59,249.9,209,1
60,150.1,202,4
61,144.7,213,4
62,55.3,228,0
63,370.7,228,3
64,120.3,207,4
65,98.2,198,4
66,224.3,216,1
67,211.2,229,1
68,130.9,229,4
69,65.7,206,0
70,148.4,199,4
71,137.1,217,4
72,118.3,225,4
73,201.5,230,1
74,182.6,210,1
75,216.2,200,1
76,288.4,218,3
77,202.7,224,1
78,122.7,226,4
79,236.5,211,1
80,196.7,201,1
81,99.2,215,4
82,218.3,223,1
83,154.2,225,2
84,256.9,208,3
85,92.5,202,4
86,26.4,214,0
87,288.5,222,3
88,90.8,224,4
89,201.2,207,1
90,55.3,199,0
91,124.5,213,4
92,274.6,226,3
93,275.8,228,3
94,115.0,206,4
95,85.8,198,4
96,133.6,216,4
97,154.8,227,2
98,109.8,227,4
99,146.8,209,4
100,145.2,200,4
101,19.4,217,0
102,277.6,228,3
103,19.9,229,0
104,175.6,210,1
105,135.2,201,4
106,82.0,218,0
107,124.3,225,4
108,106.4,230,4
109,189.3,208,1
110,85.0,202,4
111,68.1,215,0
112,96.5,224,4
113,72.3,226,0
114,130.3,209,4
115,178.2,196,1
116,125.6,182,4
117,212.2,228,1
118,59.9,257,0
119,122.6,262,2
120,99.4,197,4
121,82.8,183,4
122,183.8,229,2
123,240.9,258,3
124,143.9,263,2
125,26.4,198,0
126,173.3,184,1
127,111.5,230,4
128,290.9,259,3
129,54.1,264,0
130,238.3,195,1
131,172.4,185,1
132,38.7,231,0
133,202.0,260,2
134,148.0,265,2
135,116.8,194,4
136,132.8,184,4
137,222.2,230,1
138,185.8,259,2
139,284.4,264,3
140,189.0,193,1
141,226.1,183,1
142,92.3,229,4
143,163.3,258,2
144,258.4,263,3
145,183.8,194,1
146,190.7,182,1
147,180.0,228,2
148,150.9,257,2
149,203.9,262,2
150,170.2,195,1
151,218.6,181,1
152,102.3,227,4
153,100.5,256,4
154,159.3,261,2
155,111.4,196,4
156,253.3,180,1
157,130.4,226,4
158,183.8,255,2
159,156.9,260,2
160,129.5,197,4
161,57.4,179,0
162,195.7,225,1
163,320.0,254,3
164,209.2,259,2
165,207.8,198,1
166,137.0,180,4
167,262.7,226,3
168,181.8,253,2
169,148.7,260,2
170,236.5,199,1
171,197.5,181,1
172,186.2,227,2
173,188.0,254,2
174,243.1,261,3
175,216.1,198,1
176,167.5,182,1
177,116.7,228,4
178,359.3,255,3
179,192.6,262,2
180,109.8,197,4
181,211.6,183,1
182,239.4,229,1
183,145.9,256,2
184,75.4,263,0
185,251.4,196,1
186,192.9,184,1
187,170.5,230,2
188,136.7,257,2
189,230.6,264,1
190,195.3,195,1
191,208.1,185,1
192,229.4,231,1
193,147.5,258,2
194,316.7,265,3
195,215.5,194,1
196,83.5,184,4
197,151.9,229,2
198,220.2,259,1
199,269.5,264,3
200,156.4,193,4
201,44.1,183,0
202,356.1,228,3
203,164.1,260,2
204,200.3,263,2
205,86.8,192,4
206,144.5,182,4
207,352.6,227,3
208,167.4,259,2
209,160.0,262,2
210,87.9,194,4
211,144.1,181,4
212,160.6,226,2
213,139.6,258,2
214,164.8,261,2
215,173.9,195,1
216,50.4,180,0
217,136.7,225,4
218,52.1,257,0
219,176.7,260,2
220,220.3,196,1
221,95.1,179,4
222,101.9,224,4
223,158.0,256,2
224,143.8,259,2
225,120.9,197,4
226,120.2,180,4
227,117.9,228,4
228,76.3,254,0
229,130.2,260,2
